# {"t_start": 1569753756.0582826, "env_id": null} 
r,l,t
-30,201,295.409846
-60,201,295.982679
-30,201,296.554068
-10,201,297.125521
-30,201,297.696492
-50,201,298.265646
-30,201,298.836439
-30,201,299.40322
-20,201,299.972051
-50,201,300.540775
-20,201,301.112904
-30,201,301.684396
-20,201,302.254044
-30,201,302.822266
-30,201,303.394077
-50,201,303.965653
-50,201,304.533836
-70,201,305.11381
-40,201,305.690444
-20,201,306.240501
-40,201,306.808804
-30,201,307.372743
-40,201,307.937655
-10,201,308.496585
-20,201,309.054601
-50,201,309.622961
-30,201,310.188634
-30,201,310.758155
-40,201,311.331149
-40,201,311.899935
-20,201,312.472036
-20,201,313.041988
-40,201,313.611907
-40,201,314.182507
-10,201,314.754168
-20,201,315.325219
0,201,315.90044
-30,201,316.475363
-10,201,317.049414
-10,201,317.618623
-20,201,318.185006
-30,201,318.75899
-30,201,319.332894
-40,201,319.901548
-20,201,320.471105
-20,201,321.045758
-40,201,321.631874
-40,201,322.218352
-40,201,322.807224
-30,201,323.393212
-30,201,323.978924
-30,201,324.565784
-10,201,325.155682
-30,201,325.743312
-40,201,326.333143
-50,201,326.923536
-30,201,327.507152
-20,201,328.089326
-20,201,328.670022
-30,201,329.240231
-50,201,329.813233
-10,201,330.3929
-30,201,330.970745
-30,201,331.555044
-30,201,332.124321
-30,201,332.697679
-50,201,333.277406
0,201,333.85931
0,201,334.412791
0,201,334.980474
-20,201,335.548532
-30,201,336.116847
-10,201,336.687966
-50,201,337.259173
-20,201,337.828189
-50,201,338.397725
-30,201,338.968545
-30,201,339.533436
-30,201,340.106595
0,201,340.673589
-40,201,341.242308
-30,201,341.81038
-20,201,342.373837
-20,201,342.94666
-40,201,343.518278
-50,201,344.087508
-20,201,344.653593
-10,201,345.220058
-20,201,345.776356
-40,201,346.334772
-30,201,346.894595
-10,201,347.453282
-40,201,348.013612
-40,201,348.579629
-40,201,349.14938
-20,201,349.718309
-40,201,350.281529
-10,201,350.83792
-20,201,351.399396
-60,201,351.960925
-30,201,352.527356
-20,201,353.090273
0,201,353.652369
-40,201,354.218515
-20,201,354.779109
-30,201,355.345204
-40,201,355.911938
-50,201,356.490287
-30,201,357.063083
-20,201,357.630489
-30,201,358.200681
-20,201,358.774456
-20,201,359.342436
-30,201,359.915701
-40,201,360.483539
-50,201,361.047777
-10,201,361.610954
-60,201,362.170606
-20,201,362.734785
-40,201,363.303557
-40,201,363.870936
-60,201,364.445096
-20,201,365.017718
-30,201,365.617491
-30,201,366.180365
-20,201,366.746225
-70,201,367.317462
-10,201,367.89525
-20,201,368.473982
-50,201,369.065354
-20,201,369.633153
-20,201,370.192193
-40,201,370.75473
-30,201,371.315388
-10,201,371.886485
-20,201,372.452911
-20,201,373.01932
-20,201,373.587563
-20,201,374.14721
-30,201,374.71423
-20,201,375.28869
-10,201,375.85856
-30,201,376.428637
-10,201,376.999474
-20,201,377.568665
-50,201,378.13227
-40,201,378.696684
-20,201,379.261256
-20,201,379.821643
-30,201,380.385836
-20,201,380.946065
-30,201,381.507292
-40,201,382.065001
-50,201,382.629747
-10,201,383.188354
-40,201,383.757553
-20,201,384.334738
-30,201,384.912399
-40,201,385.48233
-20,201,386.057953
-50,201,386.629633
-40,201,387.201949
-40,201,387.778389
-20,201,388.353099
-30,201,388.926745
-50,201,389.497192
-20,201,390.068357
-20,201,390.639533
-40,201,391.207374
-10,201,391.774084
0,201,392.338975
-20,201,392.907721
0,201,393.47009
-20,201,394.034311
-20,201,394.597167
-10,201,395.166799
-10,201,395.730694
-10,201,396.299723
-50,201,396.863752
-50,201,397.43558
-10,201,398.005816
-20,201,398.574893
-40,201,399.145897
-60,201,399.713446
-20,201,400.28303
-20,201,400.852664
-30,201,401.420681
-20,201,401.992935
-20,201,402.565262
-60,201,403.135502
-40,201,403.708884
-20,201,404.280508
-40,201,404.848818
-30,201,405.414502
-50,201,405.985565
-40,201,406.557917
-30,201,407.130654
-10,201,407.699757
-40,201,408.272564
-40,201,408.843263
-40,201,409.415665
-30,201,409.981373
-40,201,410.5453
-20,201,411.117641
-10,201,411.683841
-70,201,412.253092
-20,201,412.832025
-30,201,413.414977
-20,201,413.997589
-50,201,414.579681
-60,201,415.163338
-20,201,415.754934
-10,201,416.33998
-30,201,416.936389
-20,201,417.530055
-20,201,418.1217
-30,201,418.709956
-30,201,419.303494
-50,201,419.895427
-30,201,420.484192
-20,201,421.071581
0,201,421.664735
-30,201,422.253657
-20,201,422.832403
-40,201,423.416353
-20,201,424.007508
-20,201,424.586619
-30,201,425.175906
-40,201,425.765568
-40,201,426.349148
-30,201,426.932334
-10,201,427.517314
-50,201,428.105377
-30,201,428.690151
-20,201,429.285048
-20,201,429.872394
-40,201,430.455549
-40,201,431.047167
-10,201,431.627191
-20,201,432.220722
-30,201,432.805156
-30,201,433.397803
-40,201,433.985769
-30,201,434.5612
-30,201,435.149111
-20,201,435.728565
-60,201,436.297517
-20,201,436.8694
-20,201,437.446111
-30,201,438.009755
-50,201,438.579678
-30,201,439.147352
-10,201,439.719601
-20,201,440.291339
-50,201,440.855108
-20,201,441.421917
-40,201,441.989496
-30,201,442.553581
-10,201,443.124788
-30,201,443.695546
-50,201,444.270614
-30,201,444.844429
-30,201,445.418962
-30,201,445.98886
-30,201,446.563585
