# {"t_start": 1569774067.8238258, "env_id": null} 
r,l,t
40,201,183.935391
40,201,184.178899
50,201,184.397183
10,201,184.667559
40,201,184.881142
40,201,185.101062
40,201,185.31627
50,201,185.528238
50,201,185.741817
40,201,185.954322
50,201,186.177178
40,201,186.39145
40,201,186.607304
50,201,186.868155
40,201,187.084371
40,201,187.310815
50,201,187.53187
40,201,187.745081
40,201,187.95927
50,201,188.17422
40,201,188.381365
40,201,188.587494
40,201,188.811638
40,201,189.076081
40,201,189.283026
50,201,189.498335
40,201,189.704046
40,201,189.910771
40,201,190.115456
50,201,190.325927
50,201,190.547387
30,201,190.762991
40,201,190.972455
40,201,191.244055
50,201,191.459385
40,201,191.676254
30,201,191.878619
40,201,192.089795
20,201,192.304014
40,201,192.518308
40,201,192.730688
40,201,192.959517
30,201,193.177414
40,201,193.39051
50,201,193.651319
40,201,193.863705
40,201,194.080618
30,201,194.295793
50,201,194.509381
50,201,194.743811
50,201,194.964409
40,201,195.188034
50,201,195.424102
40,201,195.648511
50,201,195.914942
30,201,196.124828
50,201,196.345686
30,201,196.564497
50,201,196.783572
30,201,197.006783
50,201,197.220576
30,201,197.424469
50,201,197.646281
50,201,197.862199
50,201,198.12471
50,201,198.330824
40,201,198.540507
50,201,198.751901
40,201,198.96505
20,201,199.178993
50,201,199.399045
50,201,199.609889
50,201,199.820035
50,201,200.03169
50,201,200.291149
40,201,200.504624
40,201,200.721633
50,201,200.926626
40,201,201.140052
40,201,201.355787
50,201,201.610488
50,201,201.837962
40,201,202.057813
50,201,202.274314
40,201,202.537739
40,201,202.754961
50,201,202.981188
40,201,203.221888
40,201,203.437594
30,201,203.647157
50,201,203.848636
40,201,204.05663
40,201,204.272019
50,201,204.495431
50,201,204.709904
30,201,204.974462
30,201,205.177778
50,201,205.378208
30,201,205.578918
40,201,205.78651
30,201,205.992659
20,201,206.205003
40,201,206.415221
30,201,206.630384
30,201,206.846785
50,201,207.108416
40,201,207.327587
40,201,207.543633
50,201,207.758063
30,201,207.973166
40,201,208.187539
50,201,208.403998
10,201,208.617333
30,201,208.836609
40,201,209.053411
50,201,209.31582
40,201,209.521656
40,201,209.726451
50,201,209.945668
30,201,210.15777
50,201,210.375736
50,201,210.594319
40,201,210.802498
30,201,211.01622
40,201,211.212745
50,201,211.505037
50,201,211.755476
40,201,212.011482
40,201,212.229443
50,201,212.440257
40,201,212.641268
50,201,212.864208
50,201,213.086797
50,201,213.306117
40,201,213.533494
50,201,213.801896
50,201,214.017504
50,201,214.230166
50,201,214.438467
30,201,214.648765
50,201,214.856059
40,201,215.068162
40,201,215.280717
50,201,215.505843
40,201,215.723409
50,201,215.989837
40,201,216.209343
50,201,216.424546
50,201,216.640828
30,201,216.853152
30,201,217.080892
40,201,217.317563
40,201,217.54281
40,201,217.750473
40,201,217.969647
40,201,218.189817
40,201,218.457547
50,201,218.677924
40,201,218.888765
50,201,219.113307
50,201,219.332597
40,201,219.546451
30,201,219.765309
50,201,219.989934
50,201,220.207789
10,201,220.429313
40,201,220.700452
40,201,220.924496
50,201,221.1464
50,201,221.363907
50,201,221.586897
50,201,221.798131
50,201,222.041983
50,201,222.276922
40,201,222.50156
50,201,222.718135
50,201,222.984281
40,201,223.202778
40,201,223.427493
50,201,223.652965
30,201,223.86735
50,201,224.093535
40,201,224.318706
40,201,224.542037
30,201,224.758854
50,201,224.976027
40,201,225.261114
50,201,225.473313
50,201,225.700032
40,201,225.91215
50,201,226.130936
40,201,226.368548
50,201,226.579192
50,201,226.832996
50,201,227.064968
40,201,227.31809
50,201,227.596282
50,201,227.805142
50,201,228.028254
40,201,228.243272
50,201,228.458392
30,201,228.673262
40,201,228.897151
40,201,229.103202
50,201,229.308414
30,201,229.525475
40,201,229.742064
40,201,230.006908
40,201,230.231348
50,201,230.454218
50,201,230.683868
50,201,230.924842
50,201,231.146998
50,201,231.360564
50,201,231.577918
50,201,231.798667
50,201,232.029072
50,201,232.303637
40,201,232.530725
50,201,232.75898
40,201,232.983437
50,201,233.19475
50,201,233.408109
50,201,233.629876
40,201,233.846805
50,201,234.068635
40,201,234.294211
50,201,234.576504
40,201,234.800009
50,201,235.025083
50,201,235.247278
50,201,235.470592
30,201,235.680118
50,201,235.895933
30,201,236.121
50,201,236.341937
50,201,236.563051
50,201,236.831624
50,201,237.052373
40,201,237.277514
40,201,237.500427
50,201,237.721333
30,201,237.940177
50,201,238.154993
40,201,238.369556
40,201,238.591958
50,201,238.820538
50,201,239.0873
50,201,239.304857
40,201,239.524773
40,201,239.742496
50,201,239.967153
40,201,240.189234
40,201,240.411827
50,201,240.625437
50,201,240.846258
40,201,241.077145
50,201,241.300349
50,201,241.563238
50,201,241.790378
50,201,242.012707
