# {"t_start": 1569812051.8522682, "env_id": null} 
r,l,t
0,201,103.34103
0,201,103.595996
0,201,103.854342
0,201,104.06169
0,201,104.268816
0,201,104.480297
0,201,104.68847
0,201,104.899145
0,201,105.107305
0,201,105.312068
0,201,105.51417
0,201,105.723794
0,201,105.928513
0,201,106.185118
0,201,106.406197
0,201,106.63692
0,201,106.851878
0,201,107.057838
0,201,107.267866
0,201,107.476296
0,201,107.679924
0,201,107.893392
0,201,108.106017
0,201,108.374966
0,201,108.581598
0,201,108.785724
0,201,108.993942
0,201,109.197878
0,201,109.411498
0,201,109.622107
0,201,109.843458
0,201,110.060435
0,201,110.279479
0,201,110.554986
0,201,110.753141
0,201,110.957466
0,201,111.172698
0,201,111.38103
0,201,111.595348
0,201,111.8027
0,201,112.023149
0,201,112.232492
0,201,112.439991
0,201,112.695918
0,201,112.910488
0,201,113.125251
0,201,113.334823
0,201,113.582006
0,201,113.798368
0,201,114.012943
0,201,114.234369
0,201,114.442151
0,201,114.659026
0,201,114.919337
0,201,115.127254
0,201,115.342985
0,201,115.562522
0,201,115.77696
0,201,116.012662
0,201,116.221924
0,201,116.427407
0,201,116.632218
0,201,116.841378
0,201,117.042952
0,201,117.307312
0,201,117.518831
0,201,117.730214
0,201,117.949793
0,201,118.159519
0,201,118.362219
0,201,118.569789
0,201,118.784448
-10,201,119.000512
0,201,119.20427
0,201,119.463661
0,201,119.671438
0,201,119.885084
0,201,120.093668
0,201,120.289483
0,201,120.501661
0,201,120.704575
0,201,120.915947
0,201,121.126534
0,201,121.341514
0,201,121.604033
0,201,121.823851
0,201,122.037893
0,201,122.246976
0,201,122.460369
0,201,122.675502
0,201,122.886202
0,201,123.099402
0,201,123.314281
0,201,123.513752
0,201,123.776562
0,201,123.985959
0,201,124.196205
0,201,124.409588
0,201,124.622765
0,201,124.840972
0,201,125.054232
0,201,125.264864
0,201,125.478723
0,201,125.696798
0,201,125.972677
0,201,126.195357
0,201,126.409611
0,201,126.624521
0,201,126.833394
0,201,127.046242
0,201,127.256601
0,201,127.463642
0,201,127.667896
0,201,127.87898
0,201,128.16721
0,201,128.391402
0,201,128.612228
0,201,128.848759
0,201,129.080876
0,201,129.309646
0,201,129.53817
0,201,129.751805
0,201,129.967102
0,201,130.186752
0,201,130.40336
0,201,130.660164
0,201,130.867352
0,201,131.071819
0,201,131.283732
0,201,131.509683
0,201,131.728358
0,201,131.942319
0,201,132.16471
0,201,132.38605
0,201,132.59527
0,201,132.849696
0,201,133.063793
0,201,133.263158
0,201,133.464154
0,201,133.667772
0,201,133.864032
0,201,134.065504
0,201,134.272421
0,201,134.484239
0,201,134.701174
0,201,134.959787
0,201,135.16857
0,201,135.378343
0,201,135.581198
0,201,135.791418
0,201,136.009757
0,201,136.224642
0,201,136.444349
0,201,136.663267
0,201,136.878262
0,201,137.138084
0,201,137.344853
0,201,137.546795
0,201,137.748507
0,201,137.958081
0,201,138.172497
0,201,138.390429
0,201,138.605307
0,201,138.817826
0,201,139.032212
0,201,139.281944
0,201,139.490485
0,201,139.700433
0,201,139.922524
0,201,140.14385
0,201,140.362558
0,201,140.591731
0,201,140.82347
0,201,141.026468
0,201,141.228727
0,201,141.441822
0,201,141.69706
0,201,141.904744
0,201,142.114742
0,201,142.32021
0,201,142.510281
0,201,142.710816
0,201,142.913865
0,201,143.128517
0,201,143.344118
0,201,143.564579
0,201,143.837675
0,201,144.037462
0,201,144.242434
0,201,144.465678
0,201,144.691532
0,201,144.931464
0,201,145.148539
0,201,145.359659
0,201,145.564258
0,201,145.779958
0,201,146.051397
0,201,146.262873
0,201,146.483871
0,201,146.712305
0,201,146.935167
0,201,147.159211
0,201,147.369744
0,201,147.589592
0,201,147.8148
0,201,148.084161
0,201,148.370012
0,201,148.587746
0,201,148.828519
0,201,149.05532
0,201,149.275716
0,201,149.489359
0,201,149.706922
0,201,149.932913
0,201,150.14597
0,201,150.365747
0,201,150.646869
0,201,150.862149
0,201,151.080402
0,201,151.300563
0,201,151.521005
0,201,151.740564
0,201,151.949147
0,201,152.152606
-10,201,152.363981
0,201,152.57235
0,201,152.785158
0,201,153.049712
0,201,153.270166
0,201,153.486338
0,201,153.710485
0,201,153.933809
0,201,154.148414
0,201,154.364494
0,201,154.576791
0,201,154.784722
0,201,155.004646
0,201,155.265185
0,201,155.476611
0,201,155.691212
0,201,155.888919
0,201,156.117168
0,201,156.338993
0,201,156.549333
0,201,156.76187
0,201,156.990672
0,201,157.228025
0,201,157.511606
0,201,157.742285
0,201,157.98668
0,201,158.214088
0,201,158.439287
0,201,158.666404
0,201,158.891266
0,201,159.12313
0,201,159.351886
0,201,159.589809
0,201,159.853068
0,201,160.071812
0,201,160.292489
0,201,160.516518
0,201,160.738789
0,201,160.963317
0,201,161.193158
0,201,161.430022
0,201,161.653571
0,201,161.877273
0,201,162.14623
0,201,162.369869
0,201,162.58577
0,201,162.809091
0,201,163.032627
0,201,163.246604
0,201,163.474332
0,201,163.687915
0,201,163.90705
0,201,164.12596
0,201,164.400125
0,201,164.617411
0,201,164.83178
0,201,165.035652
0,201,165.235523
0,201,165.434959
0,201,165.651422
0,201,165.867408
0,201,166.093994
0,201,166.317235
0,201,166.546162
0,201,166.83702
0,201,167.059611
0,201,167.287886
0,201,167.515477
0,201,167.746854
0,201,167.967968
0,201,168.195408
0,201,168.436281
0,201,168.669745
0,201,168.894928
0,201,169.179746
0,201,169.432895
0,201,169.659118
0,201,169.882062
0,201,170.111951
0,201,170.34039
0,201,170.573994
0,201,170.806663
0,201,171.043674
0,201,171.27529
0,201,171.561897
0,201,171.789916
0,201,172.031544
0,201,172.262511
0,201,172.508044
0,201,172.738266
0,201,172.955477
0,201,173.175686
0,201,173.419305
0,201,173.649681
0,201,173.941697
0,201,174.174536
0,201,174.431206
0,201,174.672002
0,201,174.921405
0,201,175.165554
0,201,175.409598
0,201,175.656594
0,201,175.906981
0,201,176.159637
0,201,176.450461
0,201,176.677096
0,201,176.919791
0,201,177.145558
0,201,177.378288
0,201,177.600967
0,201,177.818488
0,201,178.039696
0,201,178.256061
0,201,178.48788
0,201,178.707903
0,201,178.975789
0,201,179.190823
0,201,179.40764
0,201,179.63541
0,201,179.858262
0,201,180.072223
0,201,180.287023
0,201,180.537452
0,201,180.772987
0,201,181.014141
0,201,181.304159
0,201,181.557924
0,201,181.794137
0,201,182.029511
0,201,182.25079
0,201,182.482838
0,201,182.724859
0,201,182.958182
0,201,183.183396
0,201,183.412112
0,201,183.689582
0,201,183.918665
0,201,184.151865
0,201,184.362357
0,201,184.586922
0,201,184.80606
0,201,185.041999
0,201,185.270622
0,201,185.495821
0,201,185.720101
0,201,186.000542
0,201,186.212019
0,201,186.428736
0,201,186.654026
0,201,186.870953
0,201,187.08199
0,201,187.2911
0,201,187.496453
0,201,187.717808
