eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
101.0,0.0,795,4.406102e-16,0.0,1.011152e-05,-7.363269e-09,3.4575842e-07,-0.27205681800842285,6940,14213120,20880.157434171997,14213120
101.0,0.0,767,0.0,0.0,1.0157968e-05,-1.7345883e-08,5.576841e-08,-0.25194478034973145,6950,14233600,20906.68642404105,14233600
101.0,0.0,792,4.8571516e-17,0.0,1.0628304e-05,4.831236e-09,1.7123253e-06,-0.3735029697418213,6960,14254080,20932.983486364014,14254080
101.0,0.0,781,6.331644e-17,0.0,1.0701238e-05,4.8603397e-09,5.617935e-09,-0.26790106296539307,6970,14274560,20959.222332759004,14274560
101.0,0.0,757,0.0,0.0,1.02717995e-05,-1.4988473e-09,1.1735191e-09,-0.6837971210479736,6980,14295040,20985.565751306014,14295040
101.0,0.0,788,6.418358e-17,0.0,1.0347461e-05,1.00408215e-08,3.676923e-07,-0.08184587955474854,6990,14315520,21011.50360813603,14315520
101.0,0.0,774,0.0,0.0,1.0435574e-05,-3.2305252e-09,1.6059737e-08,-0.3105553388595581,7000,14336000,21037.888036321034,14336000
101.0,0.0,769,2.341825e-17,0.0,1.0640112e-05,3.783498e-10,1.5166234e-08,-1.1810729503631592,7010,14356480,21063.771308775,14356480
101.0,0.0,785,6.5917586e-17,0.0,1.0692477e-05,-4.816684e-09,1.4814265e-07,-0.29747939109802246,7020,14376960,21089.69573950203,14376960
101.0,0.0,754,5.5510304e-17,0.0,1.0701516e-05,-1.7433194e-08,4.384176e-09,-0.08060252666473389,7030,14397440,21116.037070868013,14397440
101.0,0.0,777,0.0,0.0,1.0438652e-05,-1.6007107e-10,2.8056428e-08,-0.9751100540161133,7040,14417920,21142.133911034034,14417920
101.0,0.0,770,5.2647703e-16,0.0,1.0077061e-05,-1.6632839e-08,9.0429474e-08,-0.4791601896286011,7050,14438400,21168.23831142101,14438400
101.0,0.0,801,0.0,0.0,1.0217424e-05,2.6775524e-09,7.5027384e-10,-0.9211304187774658,7060,14458880,21194.233264614013,14458880
101.0,0.0,778,5.2040116e-17,0.0,1.0733952e-05,8.978532e-09,1.2101974e-07,-0.271592378616333,7070,14479360,21220.862226585043,14479360
101.0,0.0,744,0.0,0.0,1.0815989e-05,8.440111e-10,1.0051299e-09,-0.38111233711242676,7080,14499840,21247.31085451902,14499840
101.0,0.0,781,0.0,0.0,1.1041171e-05,-2.6775524e-09,1.5387203e-09,-0.5850784778594971,7090,14520320,21273.62606338202,14520320
101.0,0.0,786,0.0,0.0,9.70451e-06,1.4551915e-10,5.907941e-10,-0.2780340909957886,7100,14540800,21299.79467790702,14540800
101.0,0.0,764,0.0,0.0,9.807265e-06,-1.36788e-09,1.4763577e-09,-0.5327595472335815,7110,14561280,21325.92736695701,14561280
101.0,0.0,764,1.4744925e-17,0.0,9.699625e-06,-1.7462298e-09,1.4207694e-08,-0.4456899166107178,7120,14581760,21352.237277547014,14581760
101.0,0.0,768,3.3826075e-17,0.0,1.0018145e-05,2.0299922e-09,4.0179337e-08,-0.7341811656951904,7130,14602240,21378.892508029006,14602240
101.0,0.0,791,0.0,0.0,1.0333134e-05,-4.0483428e-08,3.2000993e-09,-0.019057750701904297,7140,14622720,21405.251012905035,14622720
101.0,0.0,780,5.4642122e-17,0.0,1.0512156e-05,-4.8603397e-09,8.416141e-10,-0.27672839164733887,7150,14643200,21431.655355789,14643200
101.0,0.0,787,0.0,0.0,1.0393039e-05,7.203198e-09,2.6293476e-08,-0.3527226448059082,7160,14663680,21457.83495103102,14663680
101.0,0.0,762,1.3617292e-16,0.0,1.0476041e-05,5.7916623e-09,8.2599286e-08,-0.1593378782272339,7170,14684160,21483.934962720028,14684160
101.0,0.0,807,0.0,0.0,1.0562756e-05,1.1961674e-08,7.526575e-10,-0.7677019834518433,7180,14704640,21510.208113650035,14704640
101.0,0.0,784,0.0,0.0,1.0535966e-05,-1.7666025e-08,3.8949114e-08,-0.0023268461227416992,7190,14725120,21536.195703680045,14725120
101.0,0.0,807,0.0,0.0,1.0687347e-05,5.2386895e-10,5.1769566e-09,-0.6244170665740967,7200,14745600,21562.675295576046,14745600
101.0,0.0,776,0.0,0.0,1.0782683e-05,-1.1437805e-08,5.131516e-07,0.00706857442855835,7210,14766080,21588.95019435702,14766080
101.0,0.0,782,0.0,0.0,1.0023928e-05,-7.246854e-09,1.866855e-09,-0.35594964027404785,7220,14786560,21615.15724171902,14786560
101.0,0.0,773,4.596947e-17,0.0,1.0013915e-05,6.4319465e-09,7.7489615e-10,-0.6376149654388428,7230,14807040,21641.60447806801,14807040
