% time spent exploring,episodes,mean 100 episode reward,steps
19,8200,-5.1,1647998
18,8300,-3.1,1668098
17,8400,-5.1,1688198
16,8500,-2.2,1708298
15,8600,-3.2,1728398
14,8700,-3.5,1748498
13,8800,-2.8,1768598
12,8900,-0.1,1788698
11,9000,-5.8,1808798
10,9100,-5.7,1828898
9,9200,-5.3,1848998
8,9300,-4.4,1869098
7,9400,-3.2,1889198
6,9500,-5.8,1909298
5,9600,-3.4,1929398
4,9700,-5.3,1949498
3,9800,-3.6,1969598
2,9900,-3.9,1989698
2,10000,-1.9,2009798
2,10100,-2.0,2029898
2,10200,-3.0,2049998
2,10300,-1.9,2070098
2,10400,-2.6,2090198
2,10500,-2.2,2110298
2,10600,-2.0,2130398
2,10700,-2.3,2150498
2,10800,-2.4,2170598
2,10900,-3.7,2190698
2,11000,-2.2,2210798
2,11100,-2.4,2230898
2,11200,-2.2,2250998
2,11300,-2.2,2271098
2,11400,-2.4,2291198
2,11500,-2.0,2311298
2,11600,-1.7,2331398
2,11700,-2.8,2351498
2,11800,-1.1,2371598
2,11900,-1.9,2391698
2,12000,0.3,2411798
2,12100,-17.4,2431898
2,12200,-0.9,2451998
2,12300,-0.5,2472098
2,12400,-1.7,2492198
2,12500,-0.3,2512298
2,12600,-0.7,2532398
2,12700,-0.7,2552498
2,12800,-0.6,2572598
2,12900,-1.0,2592698
2,13000,-1.9,2612798
2,13100,-1.0,2632898
2,13200,-0.1,2652998
2,13300,-1.6,2673098
2,13400,-0.6,2693198
2,13500,-1.2,2713298
2,13600,-2.2,2733398
2,13700,-1.3,2753498
2,13800,-1.1,2773598
2,13900,-1.3,2793698
2,14000,-1.1,2813798
2,14100,-0.9,2833898
2,14200,-2.1,2853998
2,14300,-0.6,2874098
2,14400,-1.0,2894198
2,14500,-0.7,2914298
2,14600,-0.8,2934398
2,14700,-3.1,2954498
2,14800,-0.6,2974598
2,14900,-0.9,2994698
2,15000,-2.2,3014798
2,15100,-0.6,3034898
2,15200,-1.6,3054998
2,15300,-2.8,3075098
2,15400,-1.9,3095198
2,15500,-1.1,3115298
2,15600,-2.2,3135398
2,15700,-1.2,3155498
2,15800,-0.2,3175598
2,15900,-1.6,3195698
2,16000,0.2,3215798
2,16100,-2.0,3235898
2,16200,-2.7,3255998
2,16300,-0.5,3276098
2,16400,-1.1,3296198
2,16500,-1.6,3316298
2,16600,-0.5,3336398
2,16700,-0.5,3356498
2,16800,-0.6,3376598
2,16900,-0.2,3396698
2,17000,-1.0,3416798
2,17100,-0.4,3436898
2,17200,-1.4,3456998
2,17300,-1.2,3477098
2,17400,-1.0,3497198
2,17500,-3.0,3517298
2,17600,-1.4,3537398
2,17700,-1.1,3557498
2,17800,-1.8,3577598
2,17900,-0.6,3597698
2,18000,-0.8,3617798
2,18100,-0.7,3637898
2,18200,-0.7,3657998
2,18300,-0.8,3678098
2,18400,-0.6,3698198
2,18500,-4.5,3718298
2,18600,-1.6,3738398
2,18700,-1.0,3758498
2,18800,-1.3,3778598
2,18900,-2.9,3798698
2,19000,-2.4,3818798
2,19100,-2.0,3838898
2,19200,-1.2,3858998
2,19300,-1.3,3879098
2,19400,-2.8,3899198
2,19500,-1.0,3919298
2,19600,-1.1,3939398
2,19700,-0.8,3959498
2,19800,-2.1,3979598
2,19900,-1.6,3999698
2,20000,-1.0,4019798
2,20100,-1.2,4039898
2,20200,-1.3,4059998
2,20300,-1.2,4080098
2,20400,-1.5,4100198
2,20500,-0.9,4120298
2,20600,-1.2,4140398
2,20700,-4.1,4160498
2,20800,-1.1,4180598
2,20900,-1.1,4200698
2,21000,-1.0,4220798
2,21100,-1.0,4240898
2,21200,-2.0,4260998
2,21300,-1.0,4281098
2,21400,-1.0,4301198
2,21500,-2.4,4321298
2,21600,-0.3,4341398
2,21700,-1.4,4361498
2,21800,-0.9,4381598
2,21900,-2.1,4401698
2,22000,-1.1,4421798
2,22100,-1.5,4441898
2,22200,-0.8,4461998
2,22300,-0.9,4482098
2,22400,-1.3,4502198
2,22500,-1.3,4522298
2,22600,-1.3,4542398
2,22700,-2.1,4562498
2,22800,-1.3,4582598
2,22900,-1.5,4602698
2,23000,-2.6,4622798
2,23100,-0.7,4642898
2,23200,-1.0,4662998
2,23300,-1.0,4683098
2,23400,-1.7,4703198
2,23500,-0.6,4723298
2,23600,-3.8,4743398
2,23700,-1.4,4763498
2,23800,-0.8,4783598
2,23900,-1.3,4803698
2,24000,-1.6,4823798
2,24100,-1.7,4843898
2,24200,-1.5,4863998
2,24300,-1.7,4884098
2,24400,-1.4,4904198
2,24500,-1.3,4924298
2,24600,-1.4,4944398
2,24700,-1.7,4964498
2,24800,-1.3,4984598
2,24900,-0.7,5004698
2,25000,-1.7,5024798
2,25100,-1.1,5044898
2,25200,-0.9,5064998
2,25300,-1.8,5085098
2,25400,-1.6,5105198
2,25500,-1.0,5125298
2,25600,-0.2,5145398
2,25700,-2.0,5165498
2,25800,0.1,5185598
2,25900,-0.1,5205698
2,26000,-1.9,5225798
2,26100,-1.2,5245898
2,26200,0.0,5265998
2,26300,-0.6,5286098
2,26400,-0.4,5306198
2,26500,-2.6,5326298
2,26600,-2.2,5346398
2,26700,-1.1,5366498
2,26800,-1.1,5386598
2,26900,-1.2,5406698
2,27000,-1.1,5426798
2,27100,-2.4,5446898
2,27200,-0.6,5466998
2,27300,-1.7,5487098
2,27400,-2.6,5507198
2,27500,-1.6,5527298
2,27600,-1.5,5547398
2,27700,-1.3,5567498
2,27800,-0.4,5587598
2,27900,-3.5,5607698
2,28000,-1.1,5627798
2,28100,-1.4,5647898
2,28200,-1.9,5667998
2,28300,-0.1,5688098
2,28400,-0.6,5708198
2,28500,-3.8,5728298
2,28600,-0.9,5748398
2,28700,-1.2,5768498
2,28800,-2.0,5788598
2,28900,-1.7,5808698
2,29000,-2.1,5828798
2,29100,-1.6,5848898
2,29200,-1.6,5868998
2,29300,-2.2,5889098
2,29400,-2.3,5909198
2,29500,-1.2,5929298
2,29600,-1.5,5949398
2,29700,-1.3,5969498
2,29800,-1.1,5989598
2,29900,-0.7,6009698
2,30000,-1.3,6029798
2,30100,-2.2,6049898
2,30200,-2.1,6069998
2,30300,-1.9,6090098
2,30400,-1.6,6110198
2,30500,-2.5,6130298
2,30600,-1.4,6150398
2,30700,-1.3,6170498
2,30800,-1.8,6190598
2,30900,-3.5,6210698
2,31000,-1.9,6230798
2,31100,-1.7,6250898
2,31200,-0.8,6270998
2,31300,-0.2,6291098
2,31400,-1.8,6311198
2,31500,0.0,6331298
2,31600,-5.4,6351398
2,31700,-1.7,6371498
2,31800,-0.9,6391598
2,31900,-1.8,6411698
2,32000,0.0,6431798
2,32100,-0.1,6451898
2,32200,-1.8,6471998
